[2025-06-03 15:21:57,807] 22 root - INFO - Initiating the data ingestion process.
[2025-06-03 15:22:00,455] 87 root - INFO - Performed train-test split on the data.
[2025-06-03 15:22:00,456] 88 root - INFO - Exited split_data_as_train_test method from DataIngestion.
[2025-06-03 15:22:00,456] 94 root - INFO - Exporting train and test file paths.
[2025-06-03 15:22:00,536] 104 root - INFO - Exported train and test file paths.
[2025-06-03 15:22:00,548] 33 root - INFO - Initiating the data validation
[2025-06-03 15:22:00,611] 37 root - INFO - Required number of columns: 2 
[2025-06-03 15:22:00,611] 38 root - INFO - Available number of columns: 31
[2025-06-03 15:22:00,618] 37 root - INFO - Required number of columns: 2 
[2025-06-03 15:22:00,618] 38 root - INFO - Available number of columns: 31
[2025-06-03 15:22:00,618] 49 root - INFO - Required number of numerical columns: 31
[2025-06-03 15:22:00,619] 52 root - INFO - Available number of numerical columns: 31
[2025-06-03 15:22:00,619] 49 root - INFO - Required number of numerical columns: 31
[2025-06-03 15:22:00,619] 52 root - INFO - Available number of numerical columns: 31
